anime_id,name,score,genres,type,episodes,aired_start,premiered,status,studios,source,rating,rank,popularity,favorites,scored_by
36198,"Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.",5.63,"Romance, Hentai",ONA,12,2017,fall 2017,Finished,Seven,Web manga,Rx,,2662,145,21205
49922,Rape! Rape! Rape! DVD-Box Special,5.52,Hentai,Special,1,2010,fall 2010,Finished,Anime Antenna Iinkai,Visual novel,Rx,,13352,1,166
10757,Kachikachi Yama,5.3,Drama,Movie,1,1917,fall 1917,Finished,,Other,G,11349,13521,1,214
3254,Luv Wave,5.84,"Action, Drama, Horror, Mystery, Sci-Fi, Hentai",OVA,3,2000,winter 2000,Finished,Triple X,Visual novel,Rx,,9288,2,1066
4600,Aneki... My Sweet Elder Sister The Animation,6.75,Hentai,OVA,4,2007,summer 2007,Finished,"T-Rex, Office Takeout",Manga,Rx,,5298,93,5421
4603,Kibun Kibun,5.53,Hentai,OVA,2,2003,winter 2003,Finished,Ai Yume Mai,Manga,Rx,,11142,6,529
10751,Kikou Kai Galient OVA,5.91,"Action, Fantasy, Sci-Fi",OVA,3,1986,winter 1986,Finished,Sunrise,,PG-13,9240,12450,1,350
19401,Kuusou no Soratobu Kikai-tachi,6.1,,Movie,1,2002,,Finished,Studio Ghibli,Original,G,8339,10600,1,239
10758,Momotarou,5.44,Drama,Movie,1,1918,winter 1918,Finished,,Original,G,10958,13945,0,155
1113,One: Kagayaku Kisetsu e - True Stories,6.17,Hentai,OVA,3,2003,fall 2003,Finished,Arms,Visual novel,Rx,,9006,11,1260
4606,Tsuki Kagerou,5.3,Hentai,OVA,3,2002,spring 2002,Finished,Ai Yume Mai,Visual novel,Rx,,10238,6,634
4607,Tsuma to Mama to Boin,6.63,Hentai,OVA,2,2007,winter 2007,Finished,Flavors Soft,Visual novel,Rx,,6667,27,2944
10743,Tora-chan no Kankan Mushi,5.07,Drama,Movie,1,1950,,Finished,,Original,G,11833,12902,0,511
49876,Mahou Shoujo Elena DVD-BOX Special,5.52,"Supernatural, Hentai",Special,1,2015,fall 2015,Finished,"Studio Fantasia, Rabbit Gate",Visual novel,Rx,,13280,2,213
10742,Saru to Kani no Gassen,4.83,Drama,Movie,1,1917,spring 1917,Finished,,Other,G,12162,12621,1,383
4608,Yuuwaku Countdown: Akira,5.64,Hentai,OVA,3,1997,winter 1997,Finished,OLM,Manga,Rx,,10154,7,750
4604,Reijou Caster: Ingyaku no Wana,5.29,Hentai,OVA,1,2003,spring 2003,Finished,Tryforce,Visual novel,Rx,,10726,2,575
1421,Lupin III: Hemingway Paper no Nazo,6.88,"Action, Adventure, Comedy, Mystery",Special,1,1990,summer 1990,Finished,Tokyo Movie Shinsha,,PG-13,4461,7115,5,2829
4598,Urikupen Kyuujo-tai,,"Adventure, Comedy",TV,156,1974,fall 1974,Finished,Tatsunoko Production,Original,G,13250,14833,0,
38520,Inko Colors the Animation,6.39,"Adventure, Slice of Life",ONA,1,2017,winter 2017,Finished,,Original,G,6925,11966,6,742
3273,Kinnikuman (Movie),6.37,"Action, Comedy, Sports",Movie,1,1984,summer 1984,Finished,Toei Animation,,PG-13,7008,11521,3,437
3267,Kingdom of Chaos: Born to Kill,5.4,Fantasy,OVA,4,2003,fall 2003,Finished,,Game,PG-13,11085,12283,1,165
54725,Himitsu no Hana no Niwa,6.65,"Drama, Fantasy",ONA,1,2023,winter 2023,Finished,,Music,PG-13,5593,14823,0,251
1141,Palme no Ki,6.53,"Adventure, Drama, Fantasy, Romance",Movie,1,2002,winter 2002,Finished,Palm Studio,,PG-13,6210,6713,21,2716
10760,Issunboushi,5.48,Drama,Movie,1,1918,winter 1918,Finished,,Original,G,10841,14163,1,151
10774,Soccer Fever,6.2,Sports,TV,51,1994,spring 1994,Finished,,,PG,7901,13599,2,156
10770,Mahou Shoujo Elena,6.42,"Supernatural, Hentai",OVA,3,2011,summer 2011,Finished,"Studio Fantasia, Rabbit Gate",Visual novel,Rx,,6814,45,2830
4578,Time Bokan Oudou Fukko,5.99,"Action, Comedy, Sci-Fi",OVA,2,1993,fall 1993,Finished,Tatsunoko Production,,R+,8862,10417,1,591
10766,Detective Conan vs. Wooo,6.09,"Adventure, Comedy, Mystery",ONA,2,2011,spring 2011,Finished,TMS Entertainment,,G,8397,7563,0,2371
